"Season","Period","URL","Datetime","Tweet Id","Text","Username","Replies","Retweets","Likes","Location","Followers","Friends","Source"
"season20/21","period2","https://twitter.com/MijnVitesse/status/1353063570783670278","2021-01-23 19:34:28+00:00","1353063570783670278","‘90 De extra speeltijd bedraagt minimaal vier minuten 

#Vitesse #vitgro https://t.co/4OvVu1XkwF","MijnVitesse","0","0","2","Arnhem","69565","293","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/marcodirven/status/1353063287731064836","2021-01-23 19:33:21+00:00","1353063287731064836","De jaarlijkse januari dip is weer aangebroken bij #psv","marcodirven","0","0","0","eindhoven","242","317","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>"
"season20/21","period2","https://twitter.com/Chris__Meijer/status/1353063244877860864","2021-01-23 19:33:10+00:00","1353063244877860864","Kan iemand mij dit uitleggen? In potentie zo'n goede selectie maar week in week uit pure middelmaat.. #psv #psvrkc","Chris__Meijer","1","0","3","Oost Gelre, Nederland","270","1222","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/Nielsie001/status/1353063098983149576","2021-01-23 19:32:36+00:00","1353063098983149576","Timo #Baumgartl is een overschatte voetballer.

#PSV #PSVrkc","Nielsie001","4","0","6","Mierlo","1316","205","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/OldFootball11/status/1353063064757702657","2021-01-23 19:32:27+00:00","1353063064757702657","#Vitesse (1969/70).  

https://t.co/tSnlRLfRIJ https://t.co/Y3CnifKLP6","OldFootball11","0","1","6","","80426","1918","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/Binkiej/status/1353063011766833152","2021-01-23 19:32:15+00:00","1353063011766833152","Dit is typisch zon psv wedstrijd waarin ze tussen de 85e en 90e minuut de winnende goal maken 🙃

#psvRKC #psv #eindhoven #rkcwaalwijk #eredivisie","Binkiej","0","0","0","","29","182","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/maximaxi27/status/1353062934830698497","2021-01-23 19:31:57+00:00","1353062934830698497","Oei, niet netjes. #psv https://t.co/VW5Tfsdd4Y","maximaxi27","2","0","0","","482","691","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/PSVEind_040/status/1353062859492605953","2021-01-23 19:31:39+00:00","1353062859492605953","@RikElfrink Stuitend slecht, al weken, al maanden dit vreselijke voetbal van #PSV","PSVEind_040","0","0","0","","44","191","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/Venlonaren1903/status/1353062838051344384","2021-01-23 19:31:33+00:00","1353062838051344384","Christos Donis gehuurd tot medio 2021 + optie tot koop
#vvvvenlo #eredivisie

https://t.co/M9GynhDFwp https://t.co/qCd0VXLTrr","Venlonaren1903","0","1","12","Venlo","1706","548","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"season20/21","period2","https://twitter.com/CheCliche/status/1353062344054591488","2021-01-23 19:29:36+00:00","1353062344054591488","Iedere Feyenoorder die die Griek van VVV wil als #Jorgensen weggaat: You're part of the problem. #Feyenoord","CheCliche","8","3","116","Zuid-Holland, Nederland","270","525","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
